video_id,clip_id,start,end,start_in_seconds,end_in_seconds
5YRAHri4Jyo,5YRAHri4Jyo.0000367.0000374,00:06:07.834,00:06:14.447,367,374
vAXgqB_ISKA,vAXgqB_ISKA.0002872.0002891,00:47:52.230,00:48:11.697,2872,2891
QyK3WAwM7bI,QyK3WAwM7bI.0004465.0004480,01:14:25.138,01:14:40.229,4465,4480
oH7QiOgcyvA,oH7QiOgcyvA.0001327.0001332,00:22:07.329,00:22:12.060,1327,1332
7Mklvu2Wm34,7Mklvu2Wm34.0002520.0002523,00:42:00.180,00:42:03.988,2520,2523
fl0fznHyenM,fl0fznHyenM.0005999.0006010,01:39:59.120,01:40:10.280,5999,6010
58DOc3U09q0,58DOc3U09q0.0000082.0000085,00:01:22.240,00:01:25.920,82,85
zs9V7cweD6E,zs9V7cweD6E.0004883.0004890,01:21:23.942,01:21:30.394,4883,4890
7krp1cls5W4,7krp1cls5W4.0004474.0004477,01:14:34.283,01:14:37.627,4474,4477
Ow7k4OMjJBI,Ow7k4OMjJBI.0006141.0006149,01:42:21.023,01:42:29.921,6141,6149
b5P6b3-0m1Q,b5P6b3-0m1Q.0002958.0002970,00:49:18.896,00:49:30.568,2958,2970
Lltfmot7rBs,Lltfmot7rBs.0002910.0002921,00:48:30.436,00:48:41.648,2910,2921
V8C5tBOOOq0,V8C5tBOOOq0.0003728.0003731,01:02:08.625,01:02:11.425,3728,3731
MJTdEAAXfxM,MJTdEAAXfxM.0001946.0001965,00:32:26.962,00:32:45.120,1946,1965
i6lKMpUJLpE,i6lKMpUJLpE.0003702.0003713,01:01:42.738,01:01:53.620,3702,3713
M9CpP4sOZO4,M9CpP4sOZO4.0005635.0005646,01:33:55.260,01:34:06.364,5635,5646
afSAdZJVWLw,afSAdZJVWLw.0005539.0005543,01:32:19.580,01:32:23.793,5539,5543
7Mklvu2Wm34,7Mklvu2Wm34.0006608.0006613,01:50:08.820,01:50:13.803,6608,6613
zs9V7cweD6E,zs9V7cweD6E.0004981.0004998,01:23:01.771,01:23:18.818,4981,4998
ZbJoLj_3CBU,ZbJoLj_3CBU.0001648.0001654,00:27:28.448,00:27:34.514,1648,1654
_JDO9FKXZ88,_JDO9FKXZ88.0001825.0001832,00:30:25.385,00:30:32.548,1825,1832
P3jt0yTms7s,P3jt0yTms7s.0003903.0003906,01:05:03.327,01:05:06.564,3903,3906
aXTOXrSZn6M,aXTOXrSZn6M.0000956.0000965,00:15:56.605,00:16:05.978,956,965
7krp1cls5W4,7krp1cls5W4.0007512.0007520,02:05:12.960,02:05:20.580,7512,7520
YqmkUHUt3Y4,YqmkUHUt3Y4.0000462.0000470,00:07:42.528,00:07:50.147,462,470
7krp1cls5W4,7krp1cls5W4.0005877.0005884,01:37:57.395,01:38:04.030,5877,5884
_YW4I_NM1B0,_YW4I_NM1B0.0004612.0004623,01:16:52.578,01:17:03.591,4612,4623
V8C5tBOOOq0,V8C5tBOOOq0.0008532.0008539,02:22:12.940,02:22:19.580,8532,8539
62NpCzXOLt0,62NpCzXOLt0.0002176.0002184,00:36:16.479,00:36:24.368,2176,2184
i6lKMpUJLpE,i6lKMpUJLpE.0004470.0004475,01:14:30.394,01:14:35.530,4470,4475
Vci7IZ5j4i8,Vci7IZ5j4i8.0004503.0004507,01:15:03.505,01:15:07.651,4503,4507
P3jt0yTms7s,P3jt0yTms7s.0002608.0002617,00:43:28.490,00:43:37.575,2608,2617
Vci7IZ5j4i8,Vci7IZ5j4i8.0006033.0006044,01:40:33.275,01:40:44.368,6033,6044
vAXgqB_ISKA,vAXgqB_ISKA.0009019.0009038,02:30:19.045,02:30:38.729,9019,9038
bncBNn_CbxM,bncBNn_CbxM.0002557.0002579,00:42:37.016,00:42:59.780,2557,2579
K5FeUIE_w0A,K5FeUIE_w0A.0003047.0003053,00:50:47.241,00:50:53.600,3047,3053
uE7j3Kc4GU0,uE7j3Kc4GU0.0000582.0000597,00:09:42.800,00:09:57.171,582,597
6GMo7pBtRQg,6GMo7pBtRQg.0000962.0000965,00:16:02.361,00:16:05.180,962,965
QyK3WAwM7bI,QyK3WAwM7bI.0002227.0002251,00:37:07.845,00:37:31.020,2227,2251
zs9V7cweD6E,zs9V7cweD6E.0007148.0007166,01:59:08.640,01:59:26.692,7148,7166
Vci7IZ5j4i8,Vci7IZ5j4i8.0003335.0003342,00:55:35.330,00:55:42.603,3335,3342
8bORUKi26Cc,8bORUKi26Cc.0002142.0002151,00:35:42.439,00:35:51.170,2142,2151
kLkxFBwiUxo,kLkxFBwiUxo.0002343.0002351,00:39:03.203,00:39:11.851,2343,2351
6ZC4e0tjaPE,6ZC4e0tjaPE.0005208.0005216,01:26:48.102,01:26:56.337,5208,5216
uE7j3Kc4GU0,uE7j3Kc4GU0.0007255.0007258,02:00:55.499,02:00:58.047,7255,7258
mYCKzV49rx0,mYCKzV49rx0.0003721.0003732,01:02:01.317,01:02:12.337,3721,3732
Vci7IZ5j4i8,Vci7IZ5j4i8.0009255.0009259,02:34:15.810,02:34:19.271,9255,9259
V8C5tBOOOq0,V8C5tBOOOq0.0007220.0007230,02:00:20.198,02:00:30.992,7220,7230
6ZC4e0tjaPE,6ZC4e0tjaPE.0005072.0005078,01:24:32.805,01:24:38.969,5072,5078
Zy0IUMPOX4E,Zy0IUMPOX4E.0003173.0003182,00:52:53.664,00:53:02.037,3173,3182
Lltfmot7rBs,Lltfmot7rBs.0001228.0001243,00:20:28.660,00:20:43.530,1228,1243
i6lKMpUJLpE,i6lKMpUJLpE.0005695.0005718,01:34:55.375,01:35:18.934,5695,5718
zs9V7cweD6E,zs9V7cweD6E.0005444.0005453,01:30:44.613,01:30:53.293,5444,5453
V8C5tBOOOq0,V8C5tBOOOq0.0006914.0006936,01:55:14.764,01:55:36.394,6914,6936
i6lKMpUJLpE,i6lKMpUJLpE.0007014.0007020,01:56:54.620,01:57:00.675,7014,7020
fl0fznHyenM,fl0fznHyenM.0004918.0004925,01:21:58.440,01:22:05.480,4918,4925
V8C5tBOOOq0,V8C5tBOOOq0.0005432.0005441,01:30:32.623,01:30:41.543,5432,5441
P3jt0yTms7s,P3jt0yTms7s.0005809.0005813,01:36:49.930,01:36:53.783,5809,5813
i6lKMpUJLpE,i6lKMpUJLpE.0007063.0007069,01:57:43.735,01:57:49.681,7063,7069
uE7j3Kc4GU0,uE7j3Kc4GU0.0006429.0006440,01:47:09.047,01:47:20.870,6429,6440
V8C5tBOOOq0,V8C5tBOOOq0.0007140.0007150,01:59:00.539,01:59:10.180,7140,7150
Vci7IZ5j4i8,Vci7IZ5j4i8.0007488.0007493,02:04:48.329,02:04:53.339,7488,7493
V8C5tBOOOq0,V8C5tBOOOq0.0005632.0005639,01:33:52.358,01:33:59.658,5632,5639
