video_id,clip_id,start,end,start_in_seconds,end_in_seconds
I5AtsqvLyeQ,I5AtsqvLyeQ.0004933.0004934,01:22:13.320,01:22:14.320,4933,4934
wlKmvZGc98w,wlKmvZGc98w.0001314.0001315,00:21:54.740,00:21:55.860,1314,1315
_FOADk4DxxE,_FOADk4DxxE.0007267.0007270,02:01:07.396,02:01:10.967,7267,7270
QADxexJoSsw,QADxexJoSsw.0001187.0001189,00:19:47.723,00:19:49.403,1187,1189
hEuuTV-5KfM,hEuuTV-5KfM.0007918.0007931,02:11:58.159,02:12:11.684,7918,7931
CoZExE8PoEY,CoZExE8PoEY.0002475.0002477,00:41:15.000,00:41:17.000,2475,2477
o9ZYUzE3HPI,o9ZYUzE3HPI.0008703.0008704,02:25:03.393,02:25:04.913,8703,8704
upMQIOZWOIs,upMQIOZWOIs.0001428.0001433,00:23:48.331,00:23:53.041,1428,1433
QADxexJoSsw,QADxexJoSsw.0003953.0003955,01:05:53.719,01:05:55.159,3953,3955
I5AtsqvLyeQ,I5AtsqvLyeQ.0007801.0007802,02:10:01.305,02:10:02.399,7801,7802
IA0M6eVeztw,IA0M6eVeztw.0004886.0004888,01:21:26.567,01:21:28.454,4886,4888
QADxexJoSsw,QADxexJoSsw.0001048.0001052,00:17:28.520,00:17:32.296,1048,1052
7xB0i4Uu-P0,7xB0i4Uu-P0.0004535.0004536,01:15:35.981,01:15:36.981,4535,4536
e0CLdvMdZdA,e0CLdvMdZdA.0004956.0004959,01:22:36.604,01:22:39.612,4956,4959
_FOADk4DxxE,_FOADk4DxxE.0003548.0003549,00:59:08.702,00:59:09.702,3548,3549
o9ZYUzE3HPI,o9ZYUzE3HPI.0004471.0004472,01:14:31.644,01:14:32.644,4471,4472
I5AtsqvLyeQ,I5AtsqvLyeQ.0004447.0004452,01:14:07.223,01:14:12.232,4447,4452
7xB0i4Uu-P0,7xB0i4Uu-P0.0007038.0007039,01:57:18.155,01:57:19.483,7038,7039
w4KmXnb-NtM,w4KmXnb-NtM.0003563.0003564,00:59:23.393,00:59:24.393,3563,3564
8eAfanM6EWo,8eAfanM6EWo.0006932.0006934,01:55:32.831,01:55:34.511,6932,6934
CoZExE8PoEY,CoZExE8PoEY.0002518.0002522,00:41:58.891,00:42:02.734,2518,2522
OTOYCPFQIuc,OTOYCPFQIuc.0006187.0006188,01:43:07.559,01:43:08.969,6187,6188
hxxt8_rohP8,hxxt8_rohP8.0004850.0004853,01:20:50.503,01:20:53.661,4850,4853
e0CLdvMdZdA,e0CLdvMdZdA.0005828.0005838,01:37:08.248,01:37:18.778,5828,5838
wlKmvZGc98w,wlKmvZGc98w.0001909.0001910,00:31:49.660,00:31:50.980,1909,1910
k_I6Uv8L1jU,k_I6Uv8L1jU.0003302.0003303,00:55:02.330,00:55:03.424,3302,3303
wlKmvZGc98w,wlKmvZGc98w.0007127.0007128,01:58:47.860,01:58:48.860,7127,7128
gcJcuJbgwpc,gcJcuJbgwpc.0006405.0006406,01:46:45.470,01:46:46.470,6405,6406
gcJcuJbgwpc,gcJcuJbgwpc.0001678.0001683,00:27:58.553,00:28:03.814,1678,1683
